,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ꀀ,,,,ꀄ,,ꀆ,,,,,,,,ꀎ,
ꇰ,ꇱ,ꇲ,,ꇴ,,,,,,ꇺ,ꇻ,,,ꇾ,ꇿ
,ꈁ,,,,,,,,,,,ꈌ,ꈍ,ꈎ,
,,,,ꈔ,,ꈖ,,,,,,,,,
,,ꈢ,,,,,,ꈨ,,,,ꈬ,ꈭ,,ꈯ
,,ꈲ,,ꈴ,,,,ꈸ,ꈹ,,ꈻ,ꈼ,,ꈾ,
ꉀ,,ꉂ,ꉃ,,,ꉆ,,ꉈ,ꉉ,ꉊ,,,ꉍ,,
,,ꉒ,,,ꉕ,,,,ꉙ,,ꉛ,ꉜ,,,ꉟ
,,ꉢ,,ꉤ,,ꉦ,ꉧ,,ꉩ,,,,ꉭ,ꉮ,
,,,,,ꉵ,,ꉷ,ꉸ,ꉹ,,ꉻ,,,,
,,ꊂ,ꊃ,,,,,ꊈ,,,ꊋ,,,,
,,ꊒ,,,,ꊖ,,,ꊙ,ꊚ,ꊛ,,,ꊞ,
,,ꊢ,,ꊤ,ꊥ,,,ꊨ,,,ꊫ,,ꊭ,,
,ꊱ,,,ꊴ,ꊵ,,,ꊸ,ꊹ,,ꊻ,ꊼ,,,
ꋀ,,,,,,,,,ꋉ,ꋊ,,,,,
,,,ꋓ,ꋔ,,,,,,,,,,,
ꋠ,ꋡ,,,,,,ꋧ,,,,,,,,ꋯ
,,,ꋳ,,,,,,,,ꋻ,,,,
,,ꌂ,ꌃ,,ꌅ,ꌆ,,ꌈ,,,,ꌌ,,,ꌏ
,,,,,ꌕ,ꌖ,ꌗ,,ꌙ,ꌚ,,,,,
,ꌡ,,,,,,,,ꌩ,,,,,,
,,,ꌳ,ꌴ,,,ꌷ,ꌸ,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,ꍘ,,ꍚ,,,ꍝ,ꍞ,
,,,,,,,,,,,,ꍬ,ꍭ,,
,,,,,,,,,,,,,,,
,,,,,,,ꎇ,,,ꎊ,ꎋ,,ꎍ,,
ꎐ,ꎑ,,,ꎔ,,ꎖ,,,,,,,,,ꎟ
,ꎡ,,,ꎤ,ꎥ,,,,,,ꎫ,,,,
ꎰ,ꎱ,ꎲ,,,ꎵ,ꎶ,,,,ꎺ,,,ꎽ,,ꎿ
,,ꏂ,,,ꏅ,ꏆ,,,ꏉ,,ꏋ,ꏌ,ꏍ,,ꏏ
ꏐ,,,ꏓ,,,,,,ꏙ,ꏚ,,,,,
,,ꏢ,ꏣ,,,,ꏧ,ꏨ,,,,,,,
,,ꏲ,,,ꏵ,ꏶ,,,,,,,,ꏾ,ꏿ
,,,,ꐄ,,ꐆ,ꐇ,ꐈ,,ꐊ,ꐋ,ꐌ,,ꐎ,
,ꐑ,ꐒ,,,,,,ꐘ,,ꐚ,,,,ꐞ,ꐟ
,ꐡ,ꐢ,,,,ꐦ,ꐧ,,,ꐪ,,ꐬ,,,
,ꐱ,,,,,,ꐷ,,,,ꐻ,,,,
,,,,,,,,,,,,ꑌ,,,
,,,ꑓ,,ꑕ,,ꑗ,,ꑙ,,,,,,
ꑠ,,,,,,ꑦ,,,ꑩ,,,,ꑭ,ꑮ,
,,,,ꑴ,,,,ꑸ,,,,,,,
,,,,,,,ꒇ,,ꒉ,ꒊ,,ꒌ,,,
